imdb_id,rate_date,rate
tt0903747,2018-01-08,10
tt0470752,2017-12-01,9
tt0119177,2017-11-24,9
tt1037705,2017-11-21,7
tt0418763,2017-11-15,8
tt0359950,2017-11-14,8
tt4698684,2017-11-12,8
tt0494222,2017-11-11,8
tt0379786,2017-11-11,9
tt3521164,2017-11-03,6
tt1700841,2017-11-02,6
tt6265828,2017-11-01,7
tt1638002,2017-10-31,6
tt2119532,2017-10-29,6
tt2406566,2017-10-27,7
tt5362988,2017-10-26,7
tt5290382,2017-10-25,8
tt4230076,2017-10-22,6
tt1790809,2017-10-17,6
tt1219827,2017-10-17,6
tt4630562,2017-10-15,4
tt3890160,2017-10-15,6
tt3896198,2017-10-14,6
tt3450958,2017-10-13,6
tt4425200,2017-10-12,6
tt0451279,2017-10-11,7
tt1959563,2017-10-11,6
tt2250912,2017-10-10,7
tt0468569,2017-09-26,10
tt0110912,2017-09-23,10
tt2015381,2017-09-18,7
tt2771200,2017-09-16,6
tt1334260,2017-09-16,7
tt3783958,2017-09-10,7
tt0399201,2017-09-03,6
tt1637688,2017-09-03,6
tt1189340,2017-08-19,7
tt0425112,2017-08-12,7
tt0361748,2017-08-11,8
tt5442430,2017-08-06,4
tt0780504,2017-07-22,8
tt0162065,2017-07-05,9
tt0118276,2017-06-25,9
tt0151804,2017-05-28,8
tt1156398,2017-05-28,7
tt5052448,2017-05-23,7
tt3315342,2017-05-23,7
tt0217869,2017-04-10,8
tt0910970,2017-04-09,10
tt4972582,2017-04-08,8
tt3322310,2017-04-06,8
tt1343092,2017-04-03,7
tt1878870,2017-03-30,7
tt3393786,2017-03-30,6
tt0081283,2017-03-25,6
tt3748528,2017-03-24,7
tt1216487,2017-03-21,7
tt0475784,2017-03-14,8
tt2085059,2017-03-10,8
tt1355644,2017-03-10,7
tt0285403,2017-03-04,9
tt2404435,2017-03-02,6
tt5491994,2017-02-12,10
tt1201607,2017-02-03,8
tt2543164,2017-02-03,8
tt0926084,2017-02-02,8
tt0417741,2017-02-01,8
tt0373889,2017-02-01,8
tt0330373,2017-01-31,8
tt0304141,2017-01-30,8
tt0295297,2017-01-29,8
tt0241527,2017-01-28,8
tt0371724,2017-01-26,7
tt0319061,2017-01-22,8
tt2547584,2017-01-21,7
tt0046183,2017-01-21,8
tt0307987,2017-01-20,7
tt0053285,2017-01-20,8
tt4263482,2017-01-19,7
tt1300851,2017-01-18,6
tt0333766,2017-01-17,9
tt0813715,2017-01-16,8
tt0144117,2017-01-12,7
tt0989757,2017-01-11,6
tt0246464,2017-01-11,7
tt2503944,2017-01-07,6
tt0496424,2017-01-06,9
tt0120768,2017-01-06,7
tt0949731,2016-12-31,4
tt1068680,2016-12-26,7
tt0038650,2016-12-26,9
tt3774114,2016-12-23,7
tt1570728,2016-12-22,8
tt0319343,2016-12-22,8
tt0079367,2016-12-19,6
tt4178092,2016-12-17,6
tt3567288,2016-12-15,6
tt1172049,2016-12-04,7
tt1386697,2016-12-03,6
tt3691740,2016-11-27,6
tt4302938,2016-11-17,7
tt2582782,2016-11-17,7
tt2277860,2016-11-15,7
tt1489889,2016-11-05,6
tt0443680,2016-11-02,8
tt1182345,2016-10-27,8
tt3416828,2016-10-23,6
tt1022603,2016-10-22,8
tt0335266,2016-10-21,8
tt2861424,2016-10-20,9
tt3322314,2016-10-15,8
tt3488710,2016-10-01,7
tt0104652,2016-10-01,7
tt0876563,2016-09-29,7
tt1974419,2016-09-26,6
tt2013293,2016-09-25,7
tt1375666,2016-09-24,9
tt3385516,2016-09-24,7
tt3498820,2016-09-23,7
tt0139654,2016-09-23,8
tt4052882,2016-09-23,6
tt1345836,2016-09-20,9
tt0468569,2016-09-19,9
tt0440963,2016-09-18,8
tt0372784,2016-09-18,8
tt0372183,2016-09-17,8
tt0258463,2016-09-15,8
tt0369339,2016-09-13,7
tt0803096,2016-09-11,5
tt0378194,2016-09-08,8
tt1298650,2016-09-06,6
tt3268458,2016-09-06,8
tt0449088,2016-09-05,7
tt0383574,2016-09-02,7
tt0325980,2016-09-02,8
tt0266697,2016-09-01,8
tt0208092,2016-08-31,8
tt0114746,2016-08-30,8
tt0988045,2016-08-30,7
tt0166924,2016-08-28,8
tt0117951,2016-08-27,8
tt0172495,2016-08-25,8
tt0154506,2016-08-24,7
tt0325805,2016-08-23,7
tt3799694,2016-08-22,7
tt3040964,2016-08-21,7
tt0217505,2016-08-18,7
tt0268978,2016-08-13,8
tt0112641,2016-08-11,9
tt0057012,2016-08-09,9
tt1060277,2016-08-08,7
tt4196776,2016-08-08,6
tt0083866,2016-08-07,7
tt1441953,2016-08-06,7
tt0107048,2016-08-05,8
tt0113277,2016-08-05,10
tt0167404,2016-08-05,7
tt0116282,2016-08-03,8
tt0172156,2016-08-02,7
tt0112442,2016-07-31,8
tt0373469,2016-07-30,8
tt0485947,2016-07-29,8
tt0181689,2016-07-28,8
tt0180093,2016-07-27,8
tt4574334,2016-07-27,9
tt0111503,2016-07-23,6
tt0289879,2016-07-22,7
tt0804497,2016-07-21,8
tt0198781,2016-07-20,8
tt0268380,2016-07-19,8
tt0446029,2016-07-17,8
tt0086250,2016-07-16,9
tt3682448,2016-07-16,8
tt0094721,2016-07-16,8
tt2975590,2016-07-16,6
tt2293640,2016-07-04,6
tt5242396,2016-07-04,6
tt2267968,2016-06-29,7
tt0082406,2016-06-26,7
tt2096673,2016-06-24,8
tt1663202,2016-06-23,8
tt2948356,2016-06-23,8
tt1179933,2016-06-22,8
tt3659388,2016-06-22,8
tt2379713,2016-06-22,7
tt1392190,2016-06-21,9
tt0421054,2016-06-20,4
tt1431045,2016-06-19,8
tt3076658,2016-06-19,7
tt3460252,2016-06-19,8
tt0478970,2016-06-18,6
tt1152758,2016-06-17,9
tt2381249,2016-06-15,7
tt3397884,2016-06-14,8
tt1587707,2016-06-14,7
tt3170832,2016-06-11,8
tt1895587,2016-05-31,8
tt0102685,2016-05-30,7
tt1596363,2016-05-30,7
tt0062622,2016-05-29,9
tt3312830,2016-05-29,7
tt2446980,2016-05-25,5
tt2395427,2016-05-24,6
tt2488496,2016-05-22,9
tt2304933,2016-05-20,5
tt0795176,2016-05-18,10
tt0067185,2016-05-15,7
tt0472954,2016-04-30,8
tt0097757,2016-04-22,8
tt0374463,2016-04-02,9
tt0074486,2016-03-19,7
tt0119116,2016-03-19,7
tt0055031,2016-03-13,8
tt0111257,2016-03-11,7
tt0209144,2016-03-10,9
tt0067023,2016-03-07,7
tt2707408,2016-03-04,9
tt1133985,2016-02-27,6
tt1474684,2016-02-19,7
tt0094737,2016-02-13,8
tt0407887,2016-02-09,9
tt1130884,2016-02-07,8
tt0118715,2016-02-06,9
tt0338013,2016-02-05,9
tt2357547,2016-02-04,8
tt4158110,2016-02-02,8
tt0286486,2016-01-28,9
tt0133363,2016-01-28,9
tt3715320,2016-01-16,6
tt3165612,2016-01-07,6
tt2637276,2016-01-04,6
tt1638355,2016-01-03,8
tt1798684,2016-01-03,6
tt0369610,2016-01-02,6
tt1340138,2016-01-02,7
tt2356777,2016-01-01,9
tt0290978,2015-12-29,9
tt1964418,2015-12-29,7
tt0804522,2015-12-26,6
tt0272338,2015-12-25,8
tt2402101,2015-12-25,6
tt3079380,2015-12-24,5
tt2848292,2015-12-24,5
tt2802850,2015-12-24,9
tt2582496,2015-12-23,8
tt0096754,2015-12-20,8
tt1791682,2015-12-12,6
tt0165361,2015-12-01,6
tt0047528,2015-11-18,7
tt1083845,2015-11-14,6
tt0118842,2015-11-10,7
tt2737050,2015-11-10,6
tt0094812,2015-11-10,6
tt0044706,2015-11-06,8
tt0061811,2015-11-05,8
tt0374546,2015-11-04,8
tt0031679,2015-11-03,9
tt0017136,2015-11-02,7
tt0054997,2015-11-02,9
tt0113247,2015-11-02,8
tt1981677,2015-11-01,6
tt0032551,2015-11-01,8
tt3450650,2015-10-31,2
tt0133152,2015-10-31,6
tt2343793,2015-10-30,7
tt1661199,2015-10-30,6
tt1243974,2015-10-28,6
tt0963178,2015-10-27,7
tt2243973,2015-10-24,9
tt0249462,2015-10-18,7
tt0367279,2015-10-17,9
tt0163025,2015-10-10,5
tt1291150,2015-10-10,5
tt0080761,2015-10-09,4
tt0478087,2015-10-01,6
tt0427152,2015-10-01,6
tt2557490,2015-09-29,6
tt0130827,2015-09-28,7
tt0118421,2015-09-27,9
tt0091203,2015-09-24,6
tt1441952,2015-09-21,6
tt0401383,2015-09-13,8
tt0418455,2015-09-12,7
tt0379786,2015-09-11,8
tt0150662,2015-09-11,7
tt0095159,2015-09-09,8
tt0115734,2015-09-09,7
tt0386676,2015-09-05,9
tt0870111,2015-09-05,7
tt0338564,2015-09-04,7
tt0117802,2015-09-02,8
tt0862846,2015-09-02,6
tt0287467,2015-09-02,6
tt0054047,2015-09-01,8
tt2043933,2015-09-01,7
tt0087544,2015-09-01,6
tt0087884,2015-08-31,9
tt0109506,2015-08-31,8
tt0062765,2015-08-31,8
tt1164999,2015-08-31,8
tt0092455,2015-08-31,9
tt0390384,2015-08-30,8
tt0393109,2015-08-29,7
tt2321549,2015-08-28,5
tt0480669,2015-08-27,7
tt1187064,2015-08-26,8
tt0093389,2015-08-25,7
tt2180411,2015-08-19,5
tt0119567,2015-08-17,6
tt1020072,2015-08-16,6
tt2452254,2015-08-15,7
tt0089530,2015-08-15,5
tt1872194,2015-08-13,7
tt2561572,2015-08-12,5
tt1617661,2015-08-12,5
tt3235888,2015-08-11,7
tt2199571,2015-08-08,7
tt0107290,2015-08-03,8
tt0042332,2015-07-31,8
tt0114709,2015-07-30,9
tt0397892,2015-07-29,7
tt2820852,2015-07-28,7
tt0167260,2015-07-23,9
tt0167261,2015-07-17,9
tt1977894,2015-07-17,7
tt0120737,2015-07-16,9
tt0114436,2015-07-01,4
tt0449059,2015-07-01,8
tt0443489,2015-07-01,6
tt0436697,2015-06-30,7
tt0497116,2015-06-29,6
tt0071007,2015-06-29,6
tt0854678,2015-06-29,7
tt1486185,2015-06-26,5
tt0270288,2015-06-26,7
tt1911658,2015-06-20,7
tt3107288,2015-06-20,8
tt0279967,2015-06-20,6
tt0892700,2015-06-20,8
tt3322312,2015-06-14,9
tt3032476,2015-06-11,9
tt1823672,2015-06-10,5
tt0073195,2015-05-26,8
tt2802144,2015-05-24,7
tt0097493,2015-05-21,8
tt0470752,2015-05-21,8
tt0082694,2015-05-18,8
tt0079501,2015-05-18,7
tt0100157,2015-05-17,7
tt1055292,2015-05-12,6
tt3316960,2015-05-08,7
tt2179136,2015-05-07,7
tt0087233,2015-05-01,6
tt0073580,2015-05-01,6
tt0301357,2015-04-27,6
tt2305051,2015-04-19,6
tt2397535,2015-04-19,7
tt0758758,2015-04-19,8
tt1791528,2015-04-18,8
tt2034031,2015-04-17,6
tt3612616,2015-04-11,8
tt1126590,2015-04-09,7
tt3416742,2015-04-05,7
tt1838544,2015-04-05,5
tt0312004,2015-03-27,7
tt0450188,2015-03-26,7
tt1796960,2015-03-26,7
tt0780511,2015-03-24,7
tt0816692,2015-03-22,8
tt2980516,2015-03-14,6
tt2310332,2015-03-13,7
tt0986233,2015-03-10,7
tt2245084,2015-03-09,8
tt2084970,2015-03-08,8
tt0428803,2015-03-08,7
tt0756683,2015-03-06,7
tt2562232,2015-03-05,9
tt2582802,2015-03-03,9
tt0076804,2015-03-02,6
tt1951264,2015-03-01,7
tt1951265,2015-03-01,6
tt0443536,2015-03-01,6
tt2096672,2015-02-28,4
tt1100089,2015-02-28,7
tt2872718,2015-02-28,8
tt1602620,2015-02-21,7
tt0120373,2015-02-21,6
tt2911666,2015-02-15,7
tt0489237,2015-02-13,5
tt2870708,2015-02-13,6
tt1315981,2015-02-12,6
tt0061184,2015-02-11,7
tt0089927,2015-02-08,6
tt1155592,2015-02-08,9
tt0884328,2015-02-07,6
tt0147612,2015-02-07,8
tt1706620,2015-02-05,7
tt0432283,2015-02-04,9
tt2872732,2015-02-02,7
tt0086541,2015-02-02,7
tt0073629,2015-01-31,8
tt2713180,2015-01-31,7
tt1179031,2015-01-30,7
tt0102536,2015-01-30,9
tt0092563,2015-01-30,8
tt0086465,2015-01-29,7
tt0365737,2015-01-29,7
tt0979432,2015-01-29,7
tt0065214,2015-01-28,8
tt1259521,2015-01-28,7
tt0101507,2015-01-27,8
tt0898367,2015-01-26,7
tt1843866,2015-01-25,7
tt2345737,2015-01-25,7
tt0458339,2015-01-24,7
tt0243017,2015-01-24,7
tt2870756,2015-01-23,7
tt0104348,2015-01-23,8
tt1586680,2015-01-23,8
tt0368447,2015-01-21,7
tt1862079,2015-01-20,6
tt0119698,2015-01-20,8
tt0343818,2015-01-19,7
tt1872818,2015-01-19,7
tt0212720,2015-01-17,8
tt1650062,2015-01-16,7
tt1972571,2015-01-14,7
tt1600196,2015-01-14,8
tt0248654,2015-01-12,9
tt0241303,2015-01-06,7
tt2883512,2015-01-05,7
tt0090605,2015-01-04,9
tt0455944,2015-01-04,7
tt2788710,2015-01-02,7
tt0103639,2014-12-31,9
tt2358891,2014-12-30,9
tt1486834,2014-12-30,7
tt1606392,2014-12-30,7
tt0048545,2014-12-27,8
tt0907657,2014-12-26,8
tt1355630,2014-12-26,7
tt1980929,2014-12-25,7
tt1065073,2014-12-23,9
tt1318514,2014-12-22,8
tt2103281,2014-12-22,9
tt0477348,2014-12-22,9
tt1631867,2014-12-22,9
tt2267998,2014-12-22,9
tt0388789,2014-12-21,8
tt2015381,2014-12-20,8
tt1266020,2014-12-02,9
tt1646971,2014-11-22,8
tt0098936,2014-11-15,9
tt1214962,2014-10-17,6
tt2017020,2014-10-15,6
tt2582846,2014-10-14,6
tt2294449,2014-10-13,7
tt2004420,2014-10-08,4
tt1587310,2014-10-06,8
tt1605717,2014-10-04,7
tt1877832,2014-10-04,8
tt2234003,2014-10-04,7
tt0831387,2014-10-01,6
tt2357129,2014-09-25,5
tt0118887,2014-09-10,6
tt0472181,2014-09-08,6
tt0435705,2014-09-08,7
tt0141842,2014-09-08,10
tt0185906,2014-09-08,10
tt0041088,2014-09-08,7
tt0073453,2014-09-08,7
tt0089421,2014-09-08,4
tt0107822,2014-09-07,7
tt1226229,2014-09-07,4
tt1034303,2014-09-07,6
tt0056217,2014-09-07,8
tt0097814,2014-08-20,9
tt0092067,2014-08-20,9
tt0040746,2014-08-13,8
tt0929632,2014-08-11,5
tt2278388,2014-08-10,8
tt2334873,2014-08-08,7
tt0412019,2014-08-08,7
tt0064665,2014-08-07,8
tt1454468,2014-08-06,9
tt0057115,2014-08-05,9
tt1095217,2014-08-05,7
tt0458413,2014-08-04,8
tt1872181,2014-08-03,7
tt1582507,2014-08-02,6
tt2053425,2014-08-02,7
tt1206543,2014-08-02,7
tt2692904,2014-08-02,7
tt2359024,2014-08-02,8
tt0340855,2014-08-02,7
tt0110950,2014-08-02,7
tt1714915,2014-07-31,8
tt1959490,2014-07-31,7
tt0435679,2014-07-31,7
tt0185937,2014-07-30,7
tt0049406,2014-07-30,9
tt1213648,2014-07-30,7
tt0814685,2014-07-30,6
tt2402105,2014-07-29,8
tt0097937,2014-07-28,9
tt0425123,2014-07-28,6
tt2278871,2014-07-27,9
tt0790636,2014-07-24,8
tt2316411,2014-07-23,7
tt0093105,2014-07-22,7
tt0371724,2014-07-20,6
tt1870479,2014-07-20,7
tt2294629,2014-07-19,8
tt0335266,2014-07-18,8
tt0816442,2014-07-18,7
tt2042568,2014-07-18,8
tt2140373,2014-07-18,8
tt2369135,2014-07-16,7
tt1800241,2014-07-16,8
tt1091191,2014-07-15,8
tt1731141,2014-07-14,7
tt2024544,2014-07-14,8
tt1131729,2014-07-12,8
tt0404390,2014-07-11,7
tt0133952,2014-07-10,6
tt0830515,2014-07-08,8
tt1074638,2014-07-08,8
tt0381061,2014-07-08,9
tt0067116,2014-07-07,8
tt1189073,2014-07-06,8
tt0038355,2014-07-06,8
tt0166896,2014-07-06,8
tt1293842,2014-07-06,6
tt0101889,2014-07-04,7
tt0780571,2014-07-03,8
tt1821549,2014-07-03,8
tt1351685,2014-07-02,7
tt2312718,2014-07-02,6
tt0120784,2014-07-01,7
tt1532503,2014-07-01,8
tt0473705,2014-06-30,7
tt0359950,2014-06-30,8
tt1798709,2014-06-30,9
tt0292963,2014-06-30,7
tt0993846,2014-06-28,8
tt0065462,2014-06-28,6
tt1990314,2014-06-28,6
tt0384680,2014-06-27,7
tt1588173,2014-06-26,7
tt0101410,2014-06-26,8
tt1839492,2014-06-25,7
tt0063442,2014-06-25,8
tt0120787,2014-06-25,6
tt2382396,2014-06-24,8
tt1229340,2014-06-24,4
tt2194499,2014-06-24,8
tt1139797,2014-06-23,7
tt1592281,2014-06-23,7
tt1450321,2014-06-22,8
tt2390361,2014-06-22,7
tt1981115,2014-06-21,7
tt0100150,2014-06-21,7
tt0070511,2014-06-20,9
tt0110932,2014-06-20,7
tt0052311,2014-06-18,8
tt0383028,2014-06-18,7
tt0089881,2014-06-17,8
tt0379725,2014-06-17,7
tt0055630,2014-06-16,9
tt0465580,2014-06-15,6
tt0120201,2014-06-15,6
tt0918927,2014-06-14,8
tt1234548,2014-06-14,7
tt0348836,2014-06-13,4
tt1212419,2014-06-13,5
tt0472043,2014-06-11,8
tt0114388,2014-06-10,8
tt1127180,2014-06-10,3
tt0795493,2014-06-08,6
tt0107943,2014-06-06,8
tt0095250,2014-06-05,7
tt0498399,2014-06-04,7
tt0108399,2014-06-03,8
tt0185125,2014-06-03,6
tt0196216,2014-06-03,6
tt0071360,2014-06-02,8
tt1103153,2014-06-02,5
tt0047296,2014-06-01,9
tt0099871,2014-06-01,8
tt0162346,2014-06-01,7
tt0090756,2014-06-01,8
tt0106307,2014-06-01,6
tt0042876,2014-05-31,8
tt0064115,2014-05-30,9
tt0457513,2014-05-30,7
tt0051201,2014-05-29,9
tt0240890,2014-05-25,6
tt0407304,2014-05-25,5
tt0040897,2014-05-25,9
tt0183649,2014-05-24,8
tt0068699,2014-05-24,7
tt0040522,2014-05-23,9
tt0041959,2014-05-22,9
tt0332379,2014-05-21,7
tt0080487,2014-05-20,7
tt0817177,2014-05-19,8
tt0091369,2014-05-19,6
tt0018773,2014-05-19,8
tt0120601,2014-05-18,8
tt0099810,2014-05-18,8
tt0079116,2014-05-18,8
tt0075029,2014-05-17,8
tt1375666,2014-05-16,8
tt0435761,2014-05-16,9
tt0068611,2014-05-16,7
tt1399683,2014-05-15,6
tt0117381,2014-05-13,8
tt0093822,2014-05-11,7
tt0480242,2014-05-10,7
tt0842926,2014-05-09,7
tt0838283,2014-05-04,5
tt0303461,2014-05-04,9
tt1289406,2014-05-04,8
tt1540128,2014-05-04,5
tt0103939,2014-05-03,8
tt0098536,2014-05-03,6
tt0092644,2014-05-02,6
tt0086960,2014-05-02,7
tt0109254,2014-05-02,5
tt1263670,2014-05-02,7
tt0266915,2014-04-30,6
tt0109403,2014-04-30,5
tt0948470,2014-04-28,7
tt0404203,2014-04-27,8
tt1512235,2014-04-25,6
tt0838221,2014-04-25,7
tt0246460,2014-04-25,6
tt1441940,2014-04-25,6
tt0335438,2014-04-22,6
tt0096438,2014-04-21,7
tt1032755,2014-04-21,7
tt0070379,2014-04-20,8
tt0120188,2014-04-20,8
tt1586752,2014-04-19,7
tt1188996,2014-04-19,5
tt0299658,2014-04-19,7
tt0101540,2014-04-19,7
tt1389127,2014-04-19,7
tt0038787,2014-04-17,8
tt1019452,2014-04-14,8
tt0082096,2014-04-13,9
tt0111495,2014-04-13,8
tt0143145,2014-04-11,7
tt0976051,2014-04-11,9
tt0177971,2014-04-09,6
tt0218967,2014-04-09,8
tt0015864,2014-04-09,9
tt0032553,2014-04-08,9
tt0413099,2014-04-06,5
tt0120812,2014-04-06,7
tt0027977,2014-04-06,9
tt0050825,2014-04-05,8
tt0036775,2014-04-05,9
tt0043014,2014-04-04,9
tt0489099,2014-04-04,7
tt0012349,2014-04-04,9
tt0021749,2014-04-04,9
tt0363547,2014-04-02,6
tt0146882,2014-03-31,8
tt0111507,2014-03-31,8
tt0414993,2014-03-30,6
tt0120762,2014-03-30,8
tt0108394,2014-03-30,8
tt1706593,2014-03-29,7
tt0181865,2014-03-29,8
tt0302886,2014-03-29,7
tt0377107,2014-03-29,7
tt0203009,2014-03-27,7
tt1305806,2014-03-26,8
tt0120347,2014-03-25,6
tt0053198,2014-03-25,9
tt0397535,2014-03-24,8
tt0060827,2014-03-24,9
tt0105265,2014-03-23,8
tt0113189,2014-03-23,6
tt0128445,2014-03-22,9
tt0120789,2014-03-22,8
tt0117666,2014-03-21,9
tt0095765,2014-03-20,9
tt0388980,2014-03-20,6
